formula,Tc,tc_source,dataset,pressure_gpa,lambda,wlog,debye_temp,dos_ef
Hg2MgY,0.056,dft,jarvis_alex,,0.3031616346890211,103.11898829477964,183.6736602783203,1.5332433
GaOsRuV,0.039,dft,jarvis_alex,,0.2710552289975135,245.8663016796608,437.5901184082031,1.2513001
O2PdRh,0.0,dft,jarvis_alex,,0.1393167666384325,231.7225270057389,371.9311828613281,1.0358475
CaCd2Y,0.06,dft,jarvis_alex,,0.3016771563676882,116.53581222574776,242.5491485595703,3.9573593
Rh7V,0.985,dft,jarvis_alex,,0.3930224131071705,256.3414662469658,510.0962829589844,8.216517
NiPTc,1.751,dft,jarvis_alex,,0.4560336014574147,208.90158279521725,439.3341979980469,2.2595093
P2Ti4,0.733,dft,jarvis_alex,,0.3625136581016538,317.9925611640346,606.484619140625,3.402646
CSc2Te,0.055,dft,jarvis_alex,,0.2757743110540498,282.2099400480263,448.8418884277344,0.7328702
Os2Tc6,8.166,dft,jarvis_alex,,0.6913347485613809,234.3220256210853,485.3471374511719,9.882974
GaRuSc2,0.039,dft,jarvis_alex,,0.2761994673219884,194.0451499610924,327.8867492675781,1.9335359
Nb6RhW,7.289,dft,jarvis_alex,,0.7028796303658725,200.4602770593645,386.6644592285156,8.071614
AsS3Sc4,2.811,dft,jarvis_alex,,0.5020528350412728,222.6729485785745,469.1228332519531,3.516731
AlInZr2,0.137,dft,jarvis_alex,,0.3110630604635616,199.5352003081085,362.0880432128906,3.189034
LiS2Ti,4.316,dft,jarvis_alex,,0.6097437447161366,174.07923747578027,511.49517822265625,2.3260674
Sc2TcZn,0.506,dft,jarvis_alex,,0.3707992124332649,188.4629290742606,323.88311767578125,4.514814
Re3Ru,4.863,dft,jarvis_alex,,0.5983712229808216,208.79884520803537,429.1365661621094,3.0414193
Al2GaTc,0.001,dft,jarvis_alex,,0.2139721014302987,259.8620707742388,516.687744140625,0.9803068
Al2ScZn,0.001,dft,jarvis_alex,,0.2189177379550079,267.5614946958462,485.1968383789063,1.4461884
TcV,0.496,dft,jarvis_alex,,0.3440040650339468,313.4012662721421,468.5261535644531,1.3388467
CuTcZr2,0.882,dft,jarvis_alex,,0.4106723761890135,178.4880495558579,303.43798828125,3.0705445
CuPdZn2,0.038,dft,jarvis_alex,,0.2798343655500908,165.02539130013534,301.5939636230469,1.1958454
NiRh2Sn,0.579,dft,jarvis_alex,,0.4098949975390232,118.23138644517331,332.9983825683594,3.7057369
HgNTi3,0.408,dft,jarvis_alex,,0.3495217504798401,228.5723409417465,339.7091979980469,6.72997
HfNi2Pt,0.0,dft,jarvis_alex,,0.0706680083919829,176.40809682951178,337.19580078125,0.57920355
Mo2Ti3Zn,10.87,dft,jarvis_alex,,0.8438696023852106,198.78261360682512,431.8253479003906,6.9914517
CaNiSi3,0.519,dft,jarvis_alex,,0.3497322090808639,290.0416749628012,503.4817810058594,1.6095073
HInPd3,0.0,dft,jarvis_alex,,0.1038697153498189,243.32756303704403,245.02833557128903,0.43146417
CuInRh2,0.001,dft,jarvis_alex,,0.2200333587829806,131.31674328276094,337.4333190917969,4.403453
MgRh2Si,0.284,dft,jarvis_alex,,0.356230628888823,138.75876510081443,446.78070068359375,1.241774
ReTi2Zn,0.444,dft,jarvis_alex,,0.3516537790691246,238.21098374498013,351.5867004394531,3.1639721
MoSi4W,0.0,dft,jarvis_alex,,0.1385356426825843,343.362542317871,638.4161376953125,1.4698312
NbRuTaTc,10.988,dft,jarvis_alex,,0.9088706250598524,175.10349922482663,378.53125,3.2219481
AuRh2Ta,0.0,dft,jarvis_alex,,0.1827882530025482,195.6379913485872,299.2931823730469,0.8988082
TcV2W,0.039,dft,jarvis_alex,,0.2675084843411869,290.5577396851739,433.177978515625,2.9582899
Al3Ga3Nb2,0.0,dft,jarvis_alex,,0.1113282675604027,292.9837542315405,514.021240234375,1.2701584
CuInLiSc,0.0,dft,jarvis_alex,,0.1074687426300448,231.3955775611504,340.4576416015625,0.9769966
AuNV3,5.032,dft,jarvis_alex,,0.5669761352890665,255.509457191971,444.3111267089844,4.9928813
Be4ReTc,2.362,dft,jarvis_alex,,0.4546966535579297,285.6252245083422,633.82763671875,3.0807326
LiSbY,0.01,dft,jarvis_alex,,0.2495402409280622,185.35065567032308,285.5177917480469,2.0998132
InRhRuZr,0.0,dft,jarvis_alex,,0.0705839004484743,218.96644234555248,346.0843811035156,1.1306605
Ru2Tc2,6.666,dft,jarvis_alex,,0.6218055814743394,255.3053471534579,527.618408203125,2.341289
LiPtRuSi,0.0,dft,jarvis_alex,,0.1519744312418259,279.07728774434315,404.1777038574219,1.5296851
Al2PdTc,0.0,dft,jarvis_alex,,0.1569517417174747,281.58832130473985,447.07080078125,1.8529041
AgNiSc2,0.897,dft,jarvis_alex,,0.4324847715760915,138.29927269710385,326.5105895996094,3.2230213
Tc2VW,8.345,dft,jarvis_alex,,0.7015152334022808,230.5472906179049,435.1365356445313,3.0316277
BrCSc2,0.009,dft,jarvis_alex,,0.23841104706336,366.79635870843214,465.158935546875,2.6106677
HgMnTi2,5.817,dft,jarvis_alex,,0.6851018993646143,169.59978144437662,353.76104736328125,3.1256678
HNTi6,2.718,dft,jarvis_alex,,0.4830132350256371,251.52271036447783,533.927978515625,5.2766023
BRh3Sc,0.001,dft,jarvis_alex,,0.2136294188911614,199.4488080915664,461.5235290527344,4.4640427
NbTi2Zn,9.331,dft,jarvis_alex,,0.8130715865343604,183.8694467991231,371.5093688964844,5.0708904
AlMoRe,0.051,dft,jarvis_alex,,0.2767249291887385,248.9837489110268,450.8196716308594,1.0428406
InNNi3,0.313,dft,jarvis_alex,,0.3428157301938624,202.6474100753421,407.1095581054688,1.4704616
Li2NNaRh,0.129,dft,jarvis_alex,,0.2989174403104672,274.131177349468,393.6954650878906,1.2642709
HfNZr,2.794,dft,jarvis_alex,,0.5074749036607445,211.42041653706588,406.2803039550781,3.2661064
Rh3ScTi2,6.992,dft,jarvis_alex,,0.7738789641359369,152.93902376531312,373.0487365722656,5.779756
Ga2LiPd,0.772,dft,jarvis_alex,,0.415643990238017,146.1983974740496,243.2834625244141,0.9871011
GaHfRu2,0.099,dft,jarvis_alex,,0.3003265848207771,201.7540609707592,375.5359802246094,2.8208292
AsMnMo,0.0,dft,jarvis_alex,,0.167660947554784,306.96396208445907,366.0738525390625,0.9370565
CHfRu3,0.0,dft,jarvis_alex,,0.1776929996112565,273.35225637601343,464.00482177734375,1.4575891
CoNbNi2,0.0,dft,jarvis_alex,,0.1464602510225911,276.37463408450907,465.9339904785156,0.65784734
NbPd2Ru,0.067,dft,jarvis_alex,,0.2871603385961164,214.4666452672747,394.65765380859375,3.3977418
Au2V3,2.248,dft,jarvis_alex,,0.4809756055096569,211.9541382731244,281.13836669921875,4.339635
Pt2RuTi,0.148,dft,jarvis_alex,,0.3111635784244247,214.5789257986845,374.9652404785156,2.619935
Re2Si,1.667,dft,jarvis_alex,,0.4378119217567258,242.0358991566179,411.4627685546875,1.0980511
CaRh2Y,0.0,dft,jarvis_alex,,0.1121250165206135,150.77782180364107,278.0743713378906,1.8232559
AuLi2Si,0.614,dft,jarvis_alex,,0.374559700824214,214.3020116302341,349.7231140136719,1.1828684
CaOTlY2,0.001,dft,jarvis_alex,,0.2219458106564606,224.33715658598845,302.2394104003906,1.8619429
Ru2Si2Zr,1.622,dft,jarvis_alex,,0.4718460782980476,166.02507352573764,487.509521484375,2.2349548
Ru3Sc2Y,0.795,dft,jarvis_alex,,0.3992609960649603,188.52209576887785,358.7654724121094,6.1292453
Ni2ScY,0.431,dft,jarvis_alex,,0.3786190437310249,140.43756122105236,330.22222900390625,2.6169972
Al3Li,0.955,dft,jarvis_alex,,0.3792484547294013,308.36859008108775,576.1961669921875,3.5711153
Al5Zn,1.149,dft,jarvis_alex,,0.3993503257069449,271.89277711122696,482.9902038574219,2.2120395
Rh3Sc,1.319,dft,jarvis_alex,,0.4324927728686446,203.73663879342465,398.1919250488281,4.779017
HTi2TlZr,5.253,dft,jarvis_alex,,0.6375078410560926,185.9142218817684,344.2253112792969,4.6194053
B2C2Hf2Ni2,3.806,dft,jarvis_alex,,0.4844033188801177,347.90090621275544,533.70556640625,4.0217195
Ca2NSnSr,0.008,dft,jarvis_alex,,0.2482255419643539,163.2971011835258,284.7160949707031,4.6650515
N2ScZr,3.089,dft,jarvis_alex,,0.4365516894980459,454.6696932804709,743.8802490234375,1.2135419
SnTaTi2,0.834,dft,jarvis_alex,,0.3949154694251972,210.6163671496973,307.4456481933594,4.7265816
Cu3H3Rh,6.768,dft,jarvis_alex,,0.5558985985224854,366.59086009689634,406.2449645996094,1.7376283
Ba3BiO,0.186,dft,jarvis_alex,,0.3461629831742035,111.7923629034714,208.127685546875,3.0287507
MoV3,9.13,dft,jarvis_alex,,0.7209388659464382,235.31514113972824,326.1446228027344,6.6642447
C2Hf4P2,1.737,dft,jarvis_alex,,0.4265846062934589,286.8559576550142,449.665771484375,4.0963335
Cu2KLaP2,0.0,dft,jarvis_alex,,0.2020370241439835,209.73334698830368,315.5654602050781,0.63541967
NbTc2Ti3,8.43,dft,jarvis_alex,,0.7721662933568165,185.22807606870785,376.50091552734375,6.3412075
CuLiPd2,0.0,dft,jarvis_alex,,0.1379035343005378,156.06153744845682,308.8850402832031,0.45499313
Sc3Zr,4.425,dft,jarvis_alex,,0.6034796824977942,184.9477156419192,305.3899230957031,6.619493
PtRh2W,3.709,dft,jarvis_alex,,0.5586883442523786,198.74330641422216,365.40869140625,4.3342667
Be4NbOs,0.415,dft,jarvis_alex,,0.3316666200760206,347.132207671484,590.6014404296875,1.729941
CClY2,0.018,dft,jarvis_alex,,0.2525099373267395,288.9290253182817,372.3949279785156,1.8343867
Be4RhZn,0.327,dft,jarvis_alex,,0.3166786331379232,404.3043097419039,721.9060668945312,1.7109617
Fe2Si2Y,0.002,dft,jarvis_alex,,0.2226863885919995,281.8443519034976,503.8368225097656,4.2573924
Ru2TaTi,8.734,dft,jarvis_alex,,0.7671493212068821,195.6699932949351,350.4284362792969,3.1495967
InSc2Zr,1.822,dft,jarvis_alex,,0.4705824106215112,189.2345189891728,334.4934387207031,5.1648173
Mg4Y2,1.179,dft,jarvis_alex,,0.4613212098839502,133.59914974681033,331.1965026855469,6.8894167
Hf2Tc3Ti,1.673,dft,jarvis_alex,,0.4479807591587558,217.49040772723728,335.9673156738281,6.0847864
Be2NiPd,0.001,dft,jarvis_alex,,0.2159840809285833,324.28803653230096,472.1241760253906,1.1799585
CuNNi2Pd,4.889,dft,jarvis_alex,,0.7307513755203892,121.1947332848683,395.6515502929688,6.781143
AsHV,0.005,dft,jarvis_alex,,0.2304537487581968,363.33423533688654,422.9530334472656,1.9258505
Mo2VW,0.023,dft,jarvis_alex,,0.2574765675503144,278.5350504778859,391.701416015625,2.2563126
AlHTiZr2,2.622,dft,jarvis_alex,,0.4861548945094265,236.30538253390864,449.9728088378906,2.630663
HHfNiRu2,0.772,dft,jarvis_alex,,0.3778886969150434,254.62833201404504,409.2118225097656,4.5478444
CrMn2Ti,0.121,dft,jarvis_alex,,0.2916404534971048,329.9658127843527,526.82373046875,1.1573538
CMgSc2Zr,0.266,dft,jarvis_alex,,0.3250126293406482,263.5029901609384,525.490966796875,5.36828
Sc3Y,2.152,dft,jarvis_alex,,0.5044606893035709,167.27412714332684,305.57879638671875,7.5482836
Tc2Ti,0.886,dft,jarvis_alex,,0.3809599632353279,278.517107367422,437.0588073730469,2.3846755
P2TcV,4.233,dft,jarvis_alex,,0.553143226678475,233.7586891671876,613.372314453125,2.3811252
AlInZr2,1.026,dft,jarvis_alex,,0.4307210540427252,161.44736827464945,362.8663635253906,2.276024
Rh2RuZn,2.241,dft,jarvis_alex,,0.5272213144890092,146.74346259483025,420.5705261230469,2.4637294
RuTi,0.0,dft,jarvis_alex,,0.143634831198989,322.9699951130688,480.3789367675781,0.7509383
CPdRuY2,1.731,dft,jarvis_alex,,0.5144015004364887,124.27041259569673,353.9633178710937,2.5163558
Be4PtZn,0.0,dft,jarvis_alex,,0.2029494083141311,353.9241528106325,612.8743896484375,0.94707376
Be4MoRu,2.894,dft,jarvis_alex,,0.466417349136404,311.9170884518765,726.7152709960938,4.026734
CInSc2Y,0.0,dft,jarvis_alex,,0.1562731223897078,247.6350737535263,443.3306884765625,1.0580631
HRh3Ta,0.006,dft,jarvis_alex,,0.2374172996926695,242.206943468368,409.2428283691406,3.6054356
NbRuScTc,0.204,dft,jarvis_alex,,0.3182317603136825,241.49086313361164,414.2247314453125,3.0245903
C2Cd2Nb4,0.14,dft,jarvis_alex,,0.3041210794534397,250.5994609216219,418.3868103027344,4.1752505
Pt2Ti6,6.259,dft,jarvis_alex,,0.6400403636343246,220.01746141128623,340.8804016113281,10.314817
Fe2Re4,4.688,dft,jarvis_alex,,0.5829031372355624,217.66461588149792,415.63623046875,5.275784
Os2Re4Tc2,4.385,dft,jarvis_alex,,0.5789925940759488,208.83485474166247,443.1858825683594,6.124371
InLiMgRu,0.0,dft,jarvis_alex,,0.1957859142226526,188.8810388265129,314.1566772460937,2.0007083
GaMn2,0.715,dft,jarvis_alex,,0.3697379658027468,271.91922884865755,428.9980163574219,2.9094942
B2Ni4,0.0,dft,jarvis_alex,,0.1868993938158165,323.93032987544444,573.1627197265625,4.0932345
GaRh2Zr,0.006,dft,jarvis_alex,,0.2442676539498504,165.1272477796195,350.3228759765625,1.3559802
AgCd2Li,0.049,dft,jarvis_alex,,0.292990846326807,128.1481146730838,174.80726623535156,1.1904712
RuTcTi2,0.278,dft,jarvis_alex,,0.3252518342201096,273.8030646636558,453.090576171875,3.9819229
NaNi2P2,0.349,dft,jarvis_alex,,0.3378554820194651,252.36372249014107,435.6133117675781,2.235794
Nb6RhRu,3.931,dft,jarvis_alex,,0.5526302326906426,218.58473064138903,397.2913513183594,7.6434464
Mn4Ru2,1.994,dft,jarvis_alex,,0.4333128119974214,304.8735203577793,479.4491271972656,6.377085
Li2NiP,0.151,dft,jarvis_alex,,0.305215092580165,261.18916397008576,491.75592041015625,2.0887742
AlAuNi2,0.0,dft,jarvis_alex,,0.1180084025098551,193.53813646654183,323.3739318847656,1.4966083
MoNbW2,0.003,dft,jarvis_alex,,0.2301619587522845,242.4235298832163,349.9192199707031,1.6326432
InOY3,0.346,dft,jarvis_alex,,0.343863138116298,218.6244975084756,354.4646301269531,3.1992593
Al2CuNi5,0.0,dft,jarvis_alex,,0.1372600502284977,251.54269501009523,466.4662780761719,6.024957
Cr6P2,2.987,dft,jarvis_alex,,0.4501366564153676,379.9050064211492,651.309814453125,5.9900084
Al3Ti4,0.579,dft,jarvis_alex,,0.3595057110246974,266.1053033551775,539.5866088867188,3.1674829
AlGaTi2,0.475,dft,jarvis_alex,,0.3527551110641546,249.34776978556707,506.80474853515625,4.036119
Co2LuSi2,0.0,dft,jarvis_alex,,0.2001062873532388,281.97866947228385,463.8240661621094,2.653943
GeTc2W,3.413,dft,jarvis_alex,,0.5600937267166766,181.09731178683705,368.4234008789063,1.2550547
Al3SrZn,0.039,dft,jarvis_alex,,0.2769962395074111,188.3331500299061,342.72613525390625,1.3297923
HfOsTcTi,0.104,dft,jarvis_alex,,0.2967233330814156,237.3324958728201,363.2158508300781,2.1381998
AlSc3,0.792,dft,jarvis_alex,,0.3940802539971058,202.6543269153187,406.8669128417969,4.6476645
Tc3Ti2V,0.622,dft,jarvis_alex,,0.3600305294505718,283.14382095042976,418.6485290527344,4.717149
Al2GaY,0.371,dft,jarvis_alex,,0.3470079820912728,219.3761603547556,417.5746154785156,1.3466862
NiPRu,0.051,dft,jarvis_alex,,0.2787292542817002,229.13137523949507,423.1999206542969,2.3675528
LiPRhRu,0.0,dft,jarvis_alex,,0.1845692911894578,286.8063319698147,507.3078918457031,1.5896093
C2Zr2,0.0,dft,jarvis_alex,,0.1716661332610524,429.4726245915894,698.97705078125,0.65984833
AlNiSi,0.108,dft,jarvis_alex,,0.288127201286548,334.44820801989835,395.2297058105469,1.450299
MgOsRhTa,0.0,dft,jarvis_alex,,0.0866005970762502,221.626945292097,339.07135009765625,0.7231486
Mo3W,1.547,dft,jarvis_alex,,0.4265828764337677,256.2594028445857,408.5865783691406,2.2322218
Ga2ScY,0.203,dft,jarvis_alex,,0.3366149576822784,151.304161757756,325.7173156738281,2.0311959
OTi3Zn,13.079,dft,jarvis_alex,,1.146826369300902,140.9004637186193,441.16943359375,3.512468
Be2CuRh,0.051,dft,jarvis_alex,,0.2709352939260429,318.4703616097807,488.2308349609375,0.99518114
Al2SiZr,0.001,dft,jarvis_alex,,0.2150293614602925,281.36911322203906,584.66845703125,0.955532
InMoTi2,1.593,dft,jarvis_alex,,0.4429728732036452,218.4419131652933,392.6859436035156,3.643614
AlLiNi2,0.0,dft,jarvis_alex,,0.1428479055259028,242.33286842291943,444.7399291992188,1.6913229
MnTa2,0.001,dft,jarvis_alex,,0.2115752298248196,238.18690525980816,314.6239929199219,1.4668895
Cr4ScW,0.516,dft,jarvis_alex,,0.3481650092973556,297.7255399894836,411.1813659667969,3.6622818
Pt3Rh5,0.827,dft,jarvis_alex,,0.3951756034857355,208.1091337180741,366.0954895019531,13.996184
GaNbRh2,0.4,dft,jarvis_alex,,0.3582831022311011,188.14759590301284,404.952880859375,1.874143
Mn4TcW,7.436,dft,jarvis_alex,,0.6284876178149703,275.4468681751506,456.5503234863281,4.0725436
Mo2TaW,0.004,dft,jarvis_alex,,0.2326866849169818,247.05477898672612,372.5704650878906,1.792057
InZnZr6,1.719,dft,jarvis_alex,,0.4706773477350733,178.37349553676592,300.2635192871094,4.9108853
GaScZr2,4.032,dft,jarvis_alex,,0.5881715529096969,182.43445583512613,358.54254150390625,4.6598854
Sn2Zr6,9.758,dft,jarvis_alex,,0.9446851241153006,145.0288676711597,280.8127136230469,9.811224
Tc3TiZr2,2.038,dft,jarvis_alex,,0.4629972901275863,227.55311595755467,375.9662780761719,6.241265
Co2HNiV,0.068,dft,jarvis_alex,,0.2789239599836291,302.89246545733715,521.0596923828125,1.723332
PSc2Tl,1.091,dft,jarvis_alex,,0.481664801432405,102.10498463484264,302.74298095703125,3.2067668
Al3Hf,0.0,dft,jarvis_alex,,0.2080448024668407,277.9805202961825,450.8579711914063,1.564346
PdZnZr2,6.133,dft,jarvis_alex,,0.80333350706934,123.70666958479,256.56561279296875,3.4685142
CuRu2Ti3,4.244,dft,jarvis_alex,,0.9229976791753788,64.87929356119066,438.7021179199219,4.9516993
Be5Ta,0.986,dft,jarvis_alex,,0.3687884156128798,380.54110023951006,809.1519775390625,2.1360993
Cu3Pt,0.0,dft,jarvis_alex,,0.1136750705630026,179.17558303785145,294.0090637207031,1.7789406
AlTi2Zn,0.682,dft,jarvis_alex,,0.3757028554906893,233.6724794598954,458.6411743164063,4.8351173
Mo2NiRu,1.734,dft,jarvis_alex,,0.4412140518383019,242.6517274045101,446.6899719238281,1.792086
MoTaTcTi,0.824,dft,jarvis_alex,,0.3836179598475002,247.95740143897908,395.7350769042969,3.4855597
Cr4HfZr,0.232,dft,jarvis_alex,,0.3197136691539423,264.1644214024663,351.6624755859375,5.2058573
PdPtRh6,0.737,dft,jarvis_alex,,0.3810547797464012,231.35509837992848,406.6383056640625,13.528579
Be3CoNi2,0.0,dft,jarvis_alex,,0.1619145423617586,373.2514310425419,590.3287963867188,2.5809915
HfNbRu2,10.905,dft,jarvis_alex,,1.1011069390478496,125.76202779262384,360.7936096191406,3.3862374
AlLiNbOs,1.146,dft,jarvis_alex,,0.4106836748478091,231.76739619354103,381.209716796875,4.4919257
BPtRh2Tl,0.451,dft,jarvis_alex,,0.450319302356025,57.01191419619187,291.9916687011719,0.914246
CPbTi2,0.006,dft,jarvis_alex,,0.2332972944126761,325.1776581314591,395.1225891113281,1.6049016
Si2Sr,0.0,dft,jarvis_alex,,0.1610332419552654,251.82798557896203,397.6194763183594,0.70607585
AlLiPdRh,0.0,dft,jarvis_alex,,0.1219861860800826,239.8483546185585,387.6928405761719,1.6335859
CuLaSi,2.479,dft,jarvis_alex,,0.5268145863340111,162.98795285669578,340.6131591796875,2.0015361
AlBePdPt,4.362,dft,jarvis_alex,,0.7250499499784485,110.17705847549308,375.4142761230469,2.2888784
Li2N4Tc2,27.089,dft,jarvis_alex,,1.3334637680838133,238.14125258958904,487.3933715820313,1.0964618
Mg2PdPt,0.0,dft,jarvis_alex,,0.1662892929284801,129.66714426072303,295.724609375,1.5307137
GaLiOTi2,1.59,dft,jarvis_alex,,0.4622853498608277,178.13296430766687,477.7682189941406,2.9613183
Mg2NiRh,0.0,dft,jarvis_alex,,0.1151314335830361,181.201513928787,394.7643127441406,1.445863
AlNi2Y,0.072,dft,jarvis_alex,,0.2920791980669097,194.07055304809515,352.48699951171875,2.1888816
LiRhZn2,0.014,dft,jarvis_alex,,0.2581873471008509,165.96957850849432,293.9001770019531,1.3383869
CdGaSc2,0.0,dft,jarvis_alex,,0.2089787633117663,172.8485829934436,291.2315673828125,3.5414186
MoVW,0.004,dft,jarvis_alex,,0.2315393667197738,283.53293394700955,410.9290466308594,1.1608107
Rh2ScSn,0.001,dft,jarvis_alex,,0.2204895702856787,172.1831101678851,351.89990234375,1.4215707
AuBe2Pd,3.718,dft,jarvis_alex,,0.5935076109576649,162.53864599621133,303.4028625488281,1.2516224
ReV3,0.737,dft,jarvis_alex,,0.3696789686733096,280.42257956251706,375.8924255371094,3.027491
C2Fe2Y,0.704,dft,jarvis_alex,,0.3535465713170818,363.1533688088157,538.7479248046875,2.7395887
Re2,7.588,dft,jarvis_alex,,0.7426343825565739,183.22860716179224,392.1125183105469,1.7785141
Hf2N4Ti2,14.381,dft,jarvis_alex,,0.7700568299062954,317.28645042522726,550.189453125,3.4792452
HInLiPd2,0.121,dft,jarvis_alex,,0.2949024222085682,295.42683463488294,284.8376770019531,1.0323663
NiOsSc2,0.0,dft,jarvis_alex,,0.1654195545548434,234.0476923930486,359.9070129394531,0.85701597
Ca2GaLi,0.931,dft,jarvis_alex,,0.4509515382908484,117.02866172108446,275.5656433105469,2.6302795
AlCuLiSc,0.0,dft,jarvis_alex,,0.1094888387832889,302.6719289613859,407.6619262695313,0.6337009
OsReTi2,0.082,dft,jarvis_alex,,0.2882399891238775,252.4435790591218,376.4473571777344,3.026813
MoRuV2,0.765,dft,jarvis_alex,,0.3687588697145573,296.1418278606062,437.9592590332031,2.0845637
Mn3V5,0.012,dft,jarvis_alex,,0.2434297167850672,343.34453815638204,560.7144775390625,3.7811613
CoLaSi2,0.314,dft,jarvis_alex,,0.3335733377696455,251.12386703878315,425.3077392578125,2.6348321
HNbP,1.982,dft,jarvis_alex,,0.4142851164278816,381.5424055765137,490.0354919433594,1.1033971
CuMgZnZr,0.114,dft,jarvis_alex,,0.3129411183599775,157.33197650739467,341.861083984375,1.5029713
Al4Mg2,1.813,dft,jarvis_alex,,0.4531610791835773,222.9393792771156,478.3348693847656,1.861831
Ge2Hf2Ti2,0.494,dft,jarvis_alex,,0.3597157228646477,226.032988947838,355.5328674316406,5.192918
NbRu3V2,6.587,dft,jarvis_alex,,0.648103332228335,223.81493520861417,408.9164733886719,5.13934
PtRh2Zr,0.025,dft,jarvis_alex,,0.264173971932963,216.47141439898044,365.8140869140625,3.430624
Li2Na2,0.006,dft,jarvis_alex,,0.2439756822381101,159.16336491369918,234.85659790039065,1.8570982
MoRh2Ti3,1.698,dft,jarvis_alex,,0.4476412391910729,221.5023289534341,414.8436279296875,4.460528
C4NbZr3,2.404,dft,jarvis_alex,,0.4215746860706279,422.3276274689557,681.77783203125,1.371939
PtRh7,0.658,dft,jarvis_alex,,0.3708918870654774,245.48969028058505,428.7124938964844,13.907604
AlSnTi6,4.279,dft,jarvis_alex,,0.5598238964181564,227.3646178468035,407.5537414550781,5.5156817
GaSc3Zn2,0.022,dft,jarvis_alex,,0.2636466911872219,194.52528283842275,360.02032470703125,5.4480023
LiNiSi2,0.881,dft,jarvis_alex,,0.3846692065919084,260.2843463519644,509.2287902832031,0.7539718
CrReW2,5.007,dft,jarvis_alex,,0.5788728886526326,238.4908334819308,371.9415588378906,3.2889884
AuRh2Zr,0.002,dft,jarvis_alex,,0.2293746202967649,188.49171150256203,320.9566345214844,4.0447726
NbTa2W,4.416,dft,jarvis_alex,,0.6116983202248351,176.9418189121205,328.3973693847656,4.659867
AlCo2Zn,0.0,dft,jarvis_alex,,0.1097866264961328,251.993651579005,502.2048034667969,4.4224086
HTi2,13.391,dft,jarvis_alex,,1.2358360306919107,129.7414724289938,466.6320190429688,3.197356
LiOsSc2,0.0,dft,jarvis_alex,,0.1927005357701309,228.1662331197708,357.38336181640625,1.6591866
Ge2LiNi,0.447,dft,jarvis_alex,,0.3689928395093304,172.0011784735812,373.9512634277344,0.9008058
AlRh2W,0.047,dft,jarvis_alex,,0.2795456051491435,205.76247674103152,449.9183349609375,2.5545387
LiMgNiZn,0.009,dft,jarvis_alex,,0.2470019779432963,202.4166026560204,357.6014709472656,1.2291816
Pt2RhZr,0.0,dft,jarvis_alex,,0.2051406774045394,184.1849292266524,339.6499328613281,3.2031474
HfMoTaTc,0.685,dft,jarvis_alex,,0.3806643950011117,216.3062277755793,342.05670166015625,3.4555109
PtTi2W,1.004,dft,jarvis_alex,,0.413881545852914,194.6136415890658,338.3986511230469,2.700628
AlHf2Tc,0.0,dft,jarvis_alex,,0.2126984657788817,188.49799604789533,294.6566772460937,1.0847615
H2RhTa2,0.873,dft,jarvis_alex,,0.4056644973845653,188.7208246717622,327.2611999511719,1.7155279
HfReTcTi,1.132,dft,jarvis_alex,,0.4153377437952535,215.50699881361075,331.5547790527344,3.4905028
AgH2Rh,0.198,dft,jarvis_alex,,0.3053571433162045,341.0334482359818,326.5848999023437,1.9478868
FeGaMnW,0.0,dft,jarvis_alex,,0.1699753025085049,290.0090058674676,390.4453430175781,0.9506282
CuMg2Rh,0.0,dft,jarvis_alex,,0.2120481806335428,150.92216705863208,312.6416320800781,1.5032712
Ca3NTl,0.071,dft,jarvis_alex,,0.3022303056524937,134.57522732712422,303.3736877441406,2.9754653
AgCRhY2,0.06,dft,jarvis_alex,,0.2943117688498016,149.9636065645507,327.4100036621094,1.8669287
Cr4MoRu,18.967,dft,jarvis_alex,,1.0449958616071937,239.2366000429528,453.8810119628906,7.9565244
PdRh2Sc,0.598,dft,jarvis_alex,,0.3775465740435711,198.7102015379592,362.1252746582031,3.181316
Ga2PtTi3,0.267,dft,jarvis_alex,,0.3303384566016092,231.1260246613528,389.8009948730469,5.497842
AgNbZr2,6.733,dft,jarvis_alex,,0.7640697438403556,151.76709731584785,270.4687805175781,4.38342
AlNbTc2,1.076,dft,jarvis_alex,,0.4053574287016891,234.1790934467164,457.697509765625,5.1745415
Co4P3Rb,0.022,dft,jarvis_alex,,0.2576014038072268,270.6561869077794,399.2365417480469,5.74474
Al2Ca2Y2,0.02,dft,jarvis_alex,,0.2662320154573021,158.80616083309448,296.1589050292969,1.0065609
Pd2Si2,0.063,dft,jarvis_alex,,0.2879010255459657,196.1911519997772,386.8417053222656,0.89044344
AlCSc2Y,0.0,dft,jarvis_alex,,0.1936964231524032,257.76317114887166,534.5128173828125,1.2845751
HMo,16.53,dft,jarvis_alex,,0.9570717387555184,237.2465722804232,550.01611328125,0.8025453
HfP2Y,0.209,dft,jarvis_alex,,0.3244676978856937,209.28200095386825,395.0725402832031,1.4286358
GaLiY2,0.673,dft,jarvis_alex,,0.397361608144763,163.75381380608323,281.40509033203125,3.434938
Be5Nb,0.717,dft,jarvis_alex,,0.3493678337390409,403.21025175611214,910.5435791015624,2.623637
CoLiP2Tc,0.392,dft,jarvis_alex,,0.3411381991673144,263.48420388330914,481.8685607910156,3.3954813
H2Lu2,0.051,dft,jarvis_alex,,0.287068410794244,163.93635703073198,274.6112976074219,3.0428011
